"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 10 14:35:10 GMT 2022","Fri Jun 10 14:35:11 GMT 2022","1974","","RadioButtonTest","","RadioButtonTest","testRadioButton","testRadioButton()",""
"passed","Fri Jun 10 14:35:07 GMT 2022","Fri Jun 10 14:35:09 GMT 2022","2622","","JavaScriptAlertsTest","","JavaScriptAlertsTest","testJavaScriptAlert","testJavaScriptAlert()",""
"passed","Fri Jun 10 14:35:12 GMT 2022","Fri Jun 10 14:35:13 GMT 2022","1897","","CheckboxTest","","CheckboxTest","testCheckbox","testCheckbox()",""
